sequenceID	locus_name	locus_numeric_id	stem	host_species	host_class	host_superorder	host_order	host_family	host_genus	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_gene	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	locus_structure	sequence_length	virus_genus
dependo.22-Sylvicapra_grimmia	dependo.22-laurasiatheria	22	dependo.22	Sylvicapra_grimmia	Mammalia	Laurasiatheria	Unclassified	Bovidae	Sylvicapra	Sylvicapra_grimmia	low_coverage	CMD	GCA_006408735.1_CMD_genomic.fna	SJYH01002017.1	+	160556	160780	Rep	80	154	1	225	75	129	80	1.72	41	0	0	NS[dependo.22-laurasiatheria(+)]	225	Dependoparvovirus
dependo.22-Capra_sibirica	dependo.22-laurasiatheria	22	dependo.22	Capra_sibirica	Mammalia	Laurasiatheria	Unclassified	Bovidae	Capra	Capra_sibirica	low_coverage	ASM318261v1	GCA_003182615.1_ASM318261v1_genomic.fna	NIYN01029184.1	+	37137730	37137954	Rep	80	154	1	225	75	128	77.333	3.84	41	0	0	NS[dependo.22-laurasiatheria(+)]	225	Dependoparvovirus
dependo.22-Ourebia_ourebi	dependo.22-laurasiatheria	22	dependo.22	Ourebia_ourebi	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ourebia	Ourebia_ourebi	low_coverage	ORB	GCA_006417275.1_ORB_genomic.fna	SJXZ013486188.1	-	2704	2928	Rep	80	154	1	225	75	124	76	2.34	39	0	0	NS[dependo.22-laurasiatheria(-)]	225	Dependoparvovirus
dependo.22-Raphicerus_campestris	dependo.22-laurasiatheria	22	dependo.22	Raphicerus_campestris	Mammalia	Laurasiatheria	Unclassified	Bovidae	Raphicerus	Raphicerus_campestris	low_coverage	SNB	GCA_006410735.1_SNB_genomic.fna	SJYW01034651.1	-	1496	1720	Rep	80	154	1	225	75	122	74.667	7.97	39	0	0	NS[dependo.22-laurasiatheria(-)]	225	Dependoparvovirus
dependo.22-Callorhinus_ursinus	dependo.22-laurasiatheria	22	dependo.22	Callorhinus_ursinus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Callorhinus	Callorhinus_ursinus	low_coverage	ASM326570v1	GCA_003265705.1_ASM326570v1_genomic.fna	KZ836204.1	+	4004860	4005159	Rep	97	186	1	264	90	120	71.111	1.44	37	1	0	NS[dependo.22-laurasiatheria(+)]	300	Dependoparvovirus
dependo.22-Neomonachus_schauinslandi	dependo.22-laurasiatheria	22	dependo.22	Neomonachus_schauinslandi	Mammalia	Laurasiatheria	Carnivora	Phocidae	Monachus	Neomonachus_schauinslandi	low_coverage	ASM220157v1	GCA_002201575.1_ASM220157v1_genomic.fna	NINY01007828.1	-	18946437	18946736	Rep	97	194	1	300	102	119	67.647	6.99	37	2	0	NS[dependo.22-laurasiatheria(-)]	300	Dependoparvovirus
dependo.22-Halichoerus_grypus	dependo.22-laurasiatheria	22	dependo.22	Halichoerus_grypus	Mammalia	Laurasiatheria	Carnivora	Phocidae	Halichoerus	Halichoerus_grypus	low_coverage	Tufts_HGry_1.1	GCA_012393455.1_Tufts_HGry_1.1_genomic.fna	JAAXOB010006714.1	+	50170	50469	Rep	97	194	1	300	102	119	66.667	3.03	37	2	0	NS[dependo.22-laurasiatheria(+)]	300	Dependoparvovirus
dependo.22-Leptonychotes_weddellii	dependo.22-laurasiatheria	22	dependo.22	Leptonychotes_weddellii	Mammalia	Laurasiatheria	Carnivora	Phocidae	Leptonychotes	Leptonychotes_weddellii	low_coverage	broad_1.1_april_2013	unplaced.scaf.fa_3.fa	gi|472269955|gb|KB714734.1|	-	2752124	2752423	Rep	97	194	1	300	102	118	67.647	7.22	37	2	0	NS[dependo.22-laurasiatheria(-)]	300	Dependoparvovirus
dependo.22-Ammotragus_lervia	dependo.22-laurasiatheria	22	dependo.22	Ammotragus_lervia	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ammotragus	Ammotragus_lervia	low_coverage	NAZ_v1.0	GCA_002201775.1_A_lervia_NAZ_v1.0_genomic.fna	NIVO01011144.1	-	204624	204845	Rep	80	153	1	222	74	117	74.324	1.15	36	0	0	NS[dependo.22-laurasiatheria(-)]	222	Dependoparvovirus
dependo.22-Odobenus_rosmarus	dependo.22-laurasiatheria	22	dependo.22	Odobenus_rosmarus	Mammalia	Laurasiatheria	Carnivora	Odobenidae	Odobenus	Odobenus_rosmarus	low_coverage	marinemamm_1.0_april_2013	oro_ref_Oros_1.0_chrUn.fa_33.fa	gi|469043811|ref|NW_004451877.1|	+	138435	138734	Rep	97	186	1	264	90	117	70	3.02	36	1	0	NS[dependo.22-laurasiatheria(+)]	300	Dependoparvovirus
dependo.22-Mirounga_angustirostris	dependo.22-laurasiatheria	22	dependo.22	Mirounga_angustirostris	Mammalia	Laurasiatheria	Carnivora	Phocidae	Mirounga	Mirounga_angustirostris	low_coverage	MirAng_v1_BIUU	GCA_004023865.1_MirAng_v1_BIUU_genomic.fna	PITE01006080.1	+	48683	48982	Rep	97	194	1	300	102	117	67.647	2.33	36	2	0	NS[dependo.22-laurasiatheria(+)]	300	Dependoparvovirus
dependo.22-Neovison_vison	dependo.22-laurasiatheria	22	dependo.22	Neovison_vison	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Neovison	Neovison_vison	low_coverage	NNQGG.v01	GCA_900108605.1_NNQGG.v01_genomic.fna	FNWR01000628.1	+	255588	255896	Rep	78	186	1	309	109	116	56.881	4.55	36	2	0	NS[dependo.22-laurasiatheria(+)]	309	Dependoparvovirus
dependo.22-Taxidea_taxus	dependo.22-laurasiatheria	22	dependo.22	Taxidea_taxus	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Taxidea	Taxidea_taxus	low_coverage	GCA_003697995	GCA_003697995.1_ASM369799v1_genomic.fna	ML095791.1	-	47209	47568	Rep	39	160	4	360	123	115	51.22	1.99	35	2	0	NS[dependo.22-laurasiatheria(-)]	360	Dependoparvovirus
dependo.22-Procapra_przewalskii	dependo.22-laurasiatheria	22	dependo.22	Procapra_przewalskii	Mammalia	Laurasiatheria	Unclassified	Bovidae	Procapra	Procapra_przewalskii	low_coverage	PLG	GCA_006410515.1_PLG_genomic.fna	SJYF01044909.1	+	76983	77369	Rep	83	201	1	372	127	115	54.331	2.87	35	4	0	NS[dependo.22-laurasiatheria(+)]	387	Dependoparvovirus
dependo.22-Martes_zibellina	dependo.22-laurasiatheria	22	dependo.22	Martes_zibellina	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Martes	Martes_zibellina	low_coverage	ASM1258336v1	GCA_012583365.1_ASM1258336v1_genomic.fna	RDFD01006970.1	-	3295844	3296152	Rep	78	186	1	309	109	114	57.798	5.15	35	2	0	NS[dependo.22-laurasiatheria(-)]	309	Dependoparvovirus
dependo.22-Pseudois_nayaur	dependo.22-laurasiatheria	22	dependo.22	Pseudois_nayaur	Mammalia	Laurasiatheria	Unclassified	Bovidae	Pseudois	Pseudois_nayaur	low_coverage	ASM318257v1	GCA_003182575.1_ASM318257v1_genomic.fna	NIZD01207767.1	-	2832	3200	Rep	81	201	1	354	122	114	57.377	1.41	34	3	0	NS[dependo.22-laurasiatheria(-)]	369	Dependoparvovirus
dependo.22-Rhinolophus_sinicus	dependo.22-laurasiatheria	22	dependo.22	Rhinolophus_sinicus	Mammalia	Laurasiatheria	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus_sinicus	low_coverage	ASM188883v1	GCF_001888835.1_ASM188883v1_genomic.fna	NW_017739348.1	-	541674	541913	Rep	61	141	1	240	81	113	69.136	5.63	35	1	0	NS[dependo.22-laurasiatheria(-)]	240	Dependoparvovirus
dependo.22-Philantomba_maxwellii	dependo.22-laurasiatheria	22	dependo.22	Philantomba_maxwellii	Mammalia	Laurasiatheria	Unclassified	Bovidae	Philantomba	Philantomba_maxwellii	low_coverage	MXD	GCA_006410695.1_MXD_genomic.fna	SJYS01014290.1	+	444920	445093	Rep	81	138	1	174	58	112	86.207	5.96	35	0	0	NS[dependo.22-laurasiatheria(+)]	174	Dependoparvovirus
dependo.22-Equus_caballus	dependo.22-laurasiatheria	22	dependo.22	Equus_caballus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_caballus	complete	goldenpath_equCab2_Dec13	chrX.fa	chrX	-	77091065	77091265	Rep	75	141	1	201	67	111	74.627	1.72	34	0	0	NS[dependo.22-laurasiatheria(-)]	201	Dependoparvovirus
dependo.22-Ovis_aries	dependo.22-laurasiatheria	22	dependo.22	Ovis_aries	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ovis	Ovis_aries	low_coverage	goldenpath_oviAri3	oviAri3.fa	chrX	+	129362133	129362297	Rep	81	135	1	165	55	109	89.091	3.89	34	0	0	NS[dependo.22-laurasiatheria(+)]	165	Dependoparvovirus
dependo.22-Ovis_aries	dependo.22-laurasiatheria	22	dependo.22	Ovis_aries	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ovis	Ovis_aries	complete	ensembl_79_Oar_v3.1	Ovis_aries.Oar_v3.1.dna.chromosome.X.fa	X_dna:chromosome_chromosome:Oar_v3.1:X:1:135437088:1_REF	+	129362133	129362297	Rep	81	135	1	165	55	109	89.091	3.89	34	0	0	NS[dependo.22-laurasiatheria(+)]	165	Dependoparvovirus
dependo.22-Ovis_aries	dependo.22-laurasiatheria	22	dependo.22	Ovis_aries	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ovis	Ovis_aries	complete	Oar_rambouillet_v1.0	GCA_002742125.1_Oar_rambouillet_v1.0_genomic.fna	CM008498.1	+	146262190	146262354	Rep	81	135	1	165	55	109	89.091	3.89	34	0	0	NS[dependo.22-laurasiatheria(+)]	165	Dependoparvovirus
dependo.22-Hemitragus_hylocrius	dependo.22-laurasiatheria	22	dependo.22	Hemitragus_hylocrius	Mammalia	Laurasiatheria	Unclassified	Bovidae	Hemitragus	Hemitragus_hylocrius	low_coverage	HemHyl_v1	GCA_004026825.1_HemHyl_v1_BIUU_genomic.fna	PVJR01009705.1	-	62740	62904	Rep	81	135	1	165	55	109	89.091	3.89	34	0	0	NS[dependo.22-laurasiatheria(-)]	165	Dependoparvovirus
dependo.22-Desmodus_rotundus	dependo.22-laurasiatheria	22	dependo.22	Desmodus_rotundus	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus	Desmodus_rotundus	low_coverage	GCA_002940915	GCA_002940915.1_ASM294091v1_genomic.fna	KZ672546.1	+	4429115	4429471	Rep	88	201	1	345	120	109	50.833	7.15	33	3	0	NS[dependo.36-vespertilionidae(+)]	357	Dependoparvovirus
dependo.22-Equus_asinus_somalicus	dependo.22-laurasiatheria	22	dependo.22	Equus_asinus_somalicus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_asinus_somalicus	low_coverage	Henan_21MAR2017	Equus_asinus_somalicus.cns.fa	scaffold41305	-	25182	25379	Rep	76	141	1	198	66	108	74.242	2.43	33	0	0	NS[dependo.22-laurasiatheria(-)]	198	Dependoparvovirus
dependo.22-Equus_grevyi	dependo.22-laurasiatheria	22	dependo.22	Equus_grevyi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_grevyi	low_coverage	Henan_16MAR2017	Equus_grevyi.cns.fa	chrX	-	77091065	77091262	Rep	76	141	1	198	66	108	74.242	2.43	33	0	0	NS[dependo.22-laurasiatheria(-)]	198	Dependoparvovirus
dependo.22-Equus_kiang	dependo.22-laurasiatheria	22	dependo.22	Equus_kiang	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_kiang	low_coverage	Henan_21MAR2017	Equus_kiang.cns.fa	scaffold41305	-	25182	25379	Rep	76	141	1	198	66	108	74.242	2.43	33	0	0	NS[dependo.22-laurasiatheria(-)]	198	Dependoparvovirus
dependo.22-Equus_burchellii_boehmi	dependo.22-laurasiatheria	22	dependo.22	Equus_burchellii_boehmi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_burchellii_boehmi	low_coverage	Henan_16MAR2017	Equus_burchellii_boehmi.cns.fa	chrX	-	77091065	77091262	Rep	76	141	1	198	66	108	74.242	2.43	33	0	0	NS[dependo.22-laurasiatheria(-)]	198	Dependoparvovirus
dependo.22-Equus_zebra_hartmannae	dependo.22-laurasiatheria	22	dependo.22	Equus_zebra_hartmannae	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_zebra_hartmannae	low_coverage	Henan_16MAR2017	Equus_zebra_hartmannae.cns.fa	chrX	-	77091065	77091262	Rep	76	141	1	198	66	108	74.242	2.43	33	0	0	NS[dependo.22-laurasiatheria(-)]	198	Dependoparvovirus
dependo.22-Alcelaphus_buselaphus	dependo.22-laurasiatheria	22	dependo.22	Alcelaphus_buselaphus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Alcelaphus	Alcelaphus_buselaphus	low_coverage	HBT	GCA_006408545.1_HBT_genomic.fna	SJXN01491378.1	+	1012	1182	Rep	81	137	1	171	57	108	85.965	1.59	33	0	0	NS[dependo.22-laurasiatheria(+)]	171	Dependoparvovirus
dependo.22-Damaliscus_lunatus	dependo.22-laurasiatheria	22	dependo.22	Damaliscus_lunatus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Damaliscus	Damaliscus_lunatus	low_coverage	CTB	GCA_006408505.1_CTB_genomic.fna	SJXP01001987.1	+	441689	441853	Rep	81	135	1	165	55	106	87.273	8.23	33	0	0	NS[dependo.22-laurasiatheria(+)]	165	Dependoparvovirus
dependo.22-Connochaetes_taurinus	dependo.22-laurasiatheria	22	dependo.22	Connochaetes_taurinus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Connochaetes	Connochaetes_taurinus	low_coverage	BWD	GCA_006408615.1_BWD_genomic.fna	SJXO01010655.1	-	26786	26950	Rep	81	135	1	165	55	106	87.273	8.23	33	0	0	NS[dependo.22-laurasiatheria(-)]	165	Dependoparvovirus
dependo.22-Equus_hemionus	dependo.22-laurasiatheria	22	dependo.22	Equus_hemionus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_hemionus	low_coverage	Henan_21MAR2017	Equus_hemionus.cns.fa	scaffold41305	-	25182	25379	Rep	76	141	1	198	66	105	72.727	2.57	32	0	0	NS[dependo.22-laurasiatheria(-)]	198	Dependoparvovirus
dependo.22-Megaderma_lyra	dependo.22-laurasiatheria	22	dependo.22	Megaderma_lyra	Mammalia	Laurasiatheria	Chiroptera	Megadermatidae	Megaderma	Megaderma_lyra	low_coverage	MegLyr_v1_BIUU	GCA_004026885.1_MegLyr_v1_BIUU_genomic.fna	PVJL010010532.1	+	5277	5651	Rep	92	203	13	354	114	105	57.895	2.76	31	1	0	NS[dependo.22-laurasiatheria(+)]	375	Dependoparvovirus
dependo.22-Equus_africanus_asinus	dependo.22-laurasiatheria	22	dependo.22	Equus_africanus_asinus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_africanus_asinus	low_coverage	willy_denovo	Donkey.scafSequence.fa	scaffold41305	-	25182	25379	Rep	76	141	1	198	66	104	71.212	5.02	32	0	0	NS[dependo.22-laurasiatheria(-)]	198	Dependoparvovirus
dependo.22-Aepyceros_melampus	dependo.22-laurasiatheria	22	dependo.22	Aepyceros_melampus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Aepyceros	Aepyceros_melampus	low_coverage	IMP	GCA_006408695.1_IMP_genomic.fna	SJXQ01002947.1	-	82464	82787	Rep	96	198	1	300	111	103	52.252	1.04	30	3	0	NS[dependo.22-laurasiatheria(-)]	324	Dependoparvovirus
dependo.22-Mormoops_blainvillei	dependo.22-laurasiatheria	22	dependo.22	Mormoops_blainvillei	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Mormoops	Mormoops_blainvillei	low_coverage	MorMeg_v1	GCA_004026545.1_MorMeg_v1_BIUU_genomic.fna	PVJD01010147.1	-	33464	33967	Rep	88	206	1	363	131	103	50.382	8.01	30	3	0	NS[dependo.36-vespertilionidae(-)]	504	Dependoparvovirus
dependo.22-Macroglossus_sobrinus	dependo.22-laurasiatheria	22	dependo.22	Macroglossus_sobrinus	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Macroglossus	Macroglossus_sobrinus	low_coverage	MacSob_v1	GCA_004027375.1_MacSob_v1_BIUU_genomic.fna	PVKZ01000594.1	-	614298	614591	Rep	128	201	34	261	76	101	65.789	4.64	30	1	0	NS[dependo.22-laurasiatheria(-)]	294	Dependoparvovirus
dependo.22-Mesoplodon_bidens	dependo.22-laurasiatheria	22	dependo.22	Mesoplodon_bidens	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Mesoplodon	Mesoplodon_bidens	low_coverage	MesBid_v1	GCA_004027085.1_MesBid_v1_BIUU_genomic.fna	PVJJ010017366.1	+	38727	38987	Rep	88	161	40	258	74	101	68.919	2.99	30	1	0	NS[dependo.22-laurasiatheria(+)]	261	Dependoparvovirus
dependo.22-Ziphius_cavirostris	dependo.22-laurasiatheria	22	dependo.22	Ziphius_cavirostris	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Ziphius	Ziphius_cavirostris	low_coverage	ZipCav_v1_BIUU	GCA_004364475.1_ZipCav_v1_BIUU_genomic.fna	RJWS010079209.1	-	6216	6443	Rep	88	161	7	225	74	99.4	67.568	1.03	29	1	0	NS[dependo.22-laurasiatheria(-)]	228	Dependoparvovirus
dependo.22-Muntiacus_muntjak	dependo.22-laurasiatheria	22	dependo.22	Muntiacus_muntjak	Mammalia	Laurasiatheria	Unclassified	Cervidae	Muntiacus	Muntiacus_muntjak	low_coverage	CMJ	GCA_006409035.1_CMJ_genomic.fna	SJXU01013650.1	+	1199787	1199948	Rep	82	135	1	162	54	97.4	83.333	1.99	29	0	0	NS[dependo.22-laurasiatheria(+)]	162	Dependoparvovirus
dependo.22-Muntiacus_reevesi	dependo.22-laurasiatheria	22	dependo.22	Muntiacus_reevesi	Mammalia	Laurasiatheria	Unclassified	Cervidae	Muntiacus	Muntiacus_reevesi	low_coverage	CIJ	GCA_006408525.1_CIJ_genomic.fna	SJXT01007171.1	+	1185103	1185264	Rep	82	135	1	162	54	97.4	83.333	1.99	29	0	0	NS[dependo.22-laurasiatheria(+)]	162	Dependoparvovirus
dependo.22-Hipposideros_armiger	dependo.22-laurasiatheria	22	dependo.22	Hipposideros_armiger	Mammalia	Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros	Hipposideros_armiger	low_coverage	ASM189008v1	GCF_001890085.1_ASM189008v1_genomic.fa	NW_017731406.1	+	178515	178742	Rep	142	206	10	207	66	94.4	71.212	1.05	27	1	0	NS[dependo.36-vespertilionidae(+)]	228	Dependoparvovirus
dependo.22-Ceratotherium_simum	dependo.22-laurasiatheria	22	dependo.22	Ceratotherium_simum	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	Ceratotherium_simum	low_coverage	goldenpath_cerSim1	cerSim1.fa	JH767823	+	3032479	3032649	Rep	89	138	22	171	50	91.7	78	4.44	27	0	0	NS[dependo.22-laurasiatheria(+)]	171	Dependoparvovirus
dependo.22-Ceratotherium_simum_cottoni	dependo.22-laurasiatheria	22	dependo.22	Ceratotherium_simum_cottoni	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	Ceratotherium_simum_cottoni	low_coverage	CerCot_v1_BIUU	GCA_004027795.1_CerCot_v1_BIUU_genomic.fna	PVLE01016141.1	-	16356	16526	Rep	89	138	22	171	50	91.7	78	4.44	27	0	0	NS[dependo.22-laurasiatheria(-)]	171	Dependoparvovirus
dependo.22-Crocuta_crocuta	dependo.22-laurasiatheria	22	dependo.22	Crocuta_crocuta	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Crocuta	Crocuta_crocuta	low_coverage	CrCroc_1.0	GCA_008692635.1_BGI_CrCroc_1.0_genomic.fna	VOAJ01000557.1	+	17263	17577	Rep	97	178	19	261	83	85.9	56.627	5.76	24	2	0	NS[dependo.22-laurasiatheria(+)]	315	Dependoparvovirus
dependo.22-Eschrichtius_robustus	dependo.22-laurasiatheria	22	dependo.22	Eschrichtius_robustus	Mammalia	Laurasiatheria	Cetacea	Eschrichtiidae	Eschrichtius	Eschrichtius_robustus	low_coverage	ASM218922v1	GCA_002189225.1_ASM218922v1_genomic.fna	NIPP01010917.1	+	13764	13892	Rep	88	128	7	129	41	77.8	82.927	6.35	22	0	0	NS[dependo.22-laurasiatheria(+)]	129	Dependoparvovirus
dependo.22-Megaptera_novaeangliae	dependo.22-laurasiatheria	22	dependo.22	Megaptera_novaeangliae	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Megaptera	Megaptera_novaeangliae	low_coverage	megNov1	GCA_004329385.1_megNov1_genomic.fna	RYZJ01000791.1	+	4416262	4416390	Rep	88	128	7	129	41	77.8	82.927	6.35	22	0	0	NS[dependo.22-laurasiatheria(+)]	129	Dependoparvovirus
dependo.22-Hyaena_hyaena	dependo.22-laurasiatheria	22	dependo.22	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Hyaena_hyaena	low_coverage	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01014848.1	-	19711	20025	Rep	97	152	19	189	57	67.4	61.404	6.2	17	1	0	NS[dependo.22-laurasiatheria(-)]	315	Dependoparvovirus
dependo.22-Antrozous_pallidus	dependo.22-laurasiatheria	22	dependo.22	Antrozous_pallidus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Antrozous	Antrozous_pallidus	low_coverage	AntPal_v1_BIUU	GCA_007922775.1_AntPal_v1_BIUU_genomic.fna	VMDP01019295.1	+	22878	23174	Rep	88	141	25	168	54	66.6	64.815	2.27	19	2	0	NS[dependo.36-vespertilionidae(+)]	297	Dependoparvovirus
dependo.22-Tonatia_saurophila	dependo.22-laurasiatheria	22	dependo.22	Tonatia_saurophila	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Tonatia	Tonatia_saurophila	low_coverage	TonSau_v1_BIUU	GCA_004024845.1_TonSau_v1_BIUU_genomic.fna	PVIA01009414.1	-	24843	25034	Rep	93	160	1	192	68	64.7	48.529	1.38	16	1	0	NS[dependo.22-laurasiatheria(-)]	192	Dependoparvovirus
dependo.23-Vicugna_pacos	dependo.23-camelidae	23	dependo.23	Vicugna_pacos	Mammalia	Laurasiatheria	Unclassified	Camelidae	Vicugna	Vicugna_pacos	low_coverage	goldenpath_vicPac2	vicPac2.fa	KB632691	-	1513590	1514059	VP	1	98	174	467	98	189	92.857	2.27	65	0	0	VP[dependo.23-camelidae(-)]	470	Dependoparvovirus
dependo.23-Lama_glama	dependo.23-camelidae	23	dependo.23	Lama_glama	Mammalia	Laurasiatheria	Unclassified	Camelidae	Lama	Lama_glama	low_coverage	ASM1323958v1	GCA_013239585.1_ASM1323958v1_genomic.fna	MU052497.1	+	154312	154790	VP	1	98	174	467	98	189	92.857	1.98	65	0	0	VP[dependo.23-camelidae(+)]	479	Dependoparvovirus
dependo.23-Camelus_ferus	dependo.23-camelidae	23	dependo.23	Camelus_ferus	Mammalia	Laurasiatheria	Unclassified	Camelidae	Camelus	Camelus_ferus	low_coverage	bacsac_1.0_april_2013	Camelus_f.unplaced.scaf.fa_14.fa	gi|429342667|gb|KB017125.1|	-	3396525	3396958	VP	1	73	210	428	73	152	97.26	7.24	51	0	0	VP[dependo.23-camelidae(-)]	434	Dependoparvovirus
dependo.23-Camelus_dromedarius	dependo.23-camelidae	23	dependo.23	Camelus_dromedarius	Mammalia	Laurasiatheria	Unclassified	Camelidae	Camelus	Camelus_dromedarius	low_coverage	ncbi_GCF_000767585_2015-05-14	9838_ref_PRJNA234474_Ca_dromedarius_V1.0_chrUn.fa	gi|742338961|ref|NW_011591754.1|	-	31379	31899	VP	1	73	297	515	73	152	97.26	2.12	50	0	0	VP[dependo.23-camelidae(-)]	521	Dependoparvovirus
dependo.23-Camelus_bactrianus	dependo.23-camelidae	23	dependo.23	Camelus_bactrianus	Mammalia	Laurasiatheria	Unclassified	Camelidae	Camelus	Camelus_bactrianus	low_coverage	MBC_1.0	9837_ref_Ca_bactrianus_MBC_1.0_chrUn.fa	gi|741191286|ref|NW_011513264.1|	-	554173	554699	VP	1	73	303	521	73	150	95.89	2.09	49	0	0	VP[dependo.23-camelidae(-)]	527	Dependoparvovirus
dependo.26-Prolemur_simus	dependo.26-strepsirrhini	26	dependo.26	Prolemur_simus	Mammalia	Euarchontoglires	Primates	Lemuridae	Prolemur	Prolemur_simus	low_coverage	Prosim_1.0	GCA_003258685.1_Prosim_1.0_genomic.fna	MPIZ01000190.1	+	715416	716234	VP	1	266	22	819	266	536	98.12	0	1	0	0	VP[dependo.26-strepsirrhini(+)]	819	Dependoparvovirus
dependo.26-Eulemur_flavifrons	dependo.26-strepsirrhini	26	dependo.26	Eulemur_flavifrons	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur	Eulemur_flavifrons	low_coverage	Eflavifronsk33QCA	GCA_001262665.1_Eflavifronsk33QCA_genomic.fna	LGHW01006933.1	+	8477	9292	VP	1	266	22	816	266	518	95.865	0	1	1	0	VP[dependo.26-strepsirrhini(+)]	816	Dependoparvovirus
dependo.26-Eulemur_macaco	dependo.26-strepsirrhini	26	dependo.26	Eulemur_macaco	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur	Eulemur_macaco	low_coverage	Emacaco_refEf	GCA_001262655.1_Emacaco_refEf_BWA_oneround_genomic.fa	LGHX01006817.1	+	8279	9028	VP	16	266	1	750	251	490	96.016	4.38	180	1	0	VP[dependo.26-strepsirrhini(+)]	750	Dependoparvovirus
dependo.26-Eulemur_fulvus	dependo.26-strepsirrhini	26	dependo.26	Eulemur_fulvus	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur	Eulemur_fulvus	low_coverage	EulFul_v1	GCA_004027275.1_EulFul_v1_BIUU_genomic.fna	PVJU010024054.1	+	12697	13446	VP	16	266	1	750	251	476	94.422	1.64	174	1	0	VP[dependo.26-strepsirrhini(+)]	750	Dependoparvovirus
dependo.26-Propithecus_coquereli	dependo.26-strepsirrhini	26	dependo.26	Propithecus_coquereli	Mammalia	Euarchontoglires	Primates	Indriidae	Propithecus	Propithecus_coquereli	low_coverage	Pcoq_1.0	379532_ref_Pcoq_1.0_chrUn.fa	gi|808385307|ref|NW_012145313.1|	-	18594	19076	VP	106	266	1	483	161	296	91.304	4.02	105	0	0	VP[dependo.26-strepsirrhini(-)]	483	Dependoparvovirus
dependo.26-Indri_indri	dependo.26-strepsirrhini	26	dependo.26	Indri_indri	Mammalia	Euarchontoglires	Primates	Indriidae	Indri	Indri_indri	low_coverage	IndInd_v1_BIUU	GCA_004363605.1_IndInd_v1_BIUU_genomic.fna	RJWJ010082063.1	-	1014	1493	VP	106	265	1	480	160	296	91.875	4.65	105	0	0	VP[dependo.26-strepsirrhini(-)]	480	Dependoparvovirus
dependo.26-Propithecus_coquereli	dependo.26-strepsirrhini	26	dependo.26	Propithecus_coquereli	Mammalia	Euarchontoglires	Primates	Indriidae	Propithecus	Propithecus_coquereli	low_coverage	Pcoq_1.0	379532_ref_Pcoq_1.0_chrUn.fa	gi|808384653|ref|NW_012145967.1|	-	4720837	4721319	VP	106	265	1	480	160	295	91.25	1.63	104	0	0	VP[dependo.26-strepsirrhini(-)]	483	Dependoparvovirus
